subject,n_components_percentage,n_components,epsilon,reconstruction_error_mse,reconstruction_error_mae,reconstruction_error_rmse,ssim,psnr,pca_time,projection_time,noise_addition_time,reconstruction_time
10,0.5,6,0.001,1936.7144743494657,25.299607110953197,41.098115440187385,0.038805169233936274,-31.644012732261295,0.008384600019780919,0.0004675000091083348,1.9799976143985987e-05,4.4199993135407566e-05
10,0.5,6,0.01,34.21681420915872,3.5735693757352904,5.399069521941066,0.06404506097185639,-13.998462211218392,0.008384600019780919,0.0004675000091083348,8.800008799880743e-06,4.226000746712089e-05
10,0.5,6,0.1,0.1867728257525169,0.2551859803300211,0.4062878744734487,0.4218425007839368,8.555265189379831,0.008384600019780919,0.0004675000091083348,6.80002267472446e-06,4.99800022225827e-05
10,0.5,6,1.0,0.028148092410882303,0.08009061859559605,0.1500107048158117,0.6823331915181156,17.811461566510644,0.008384600019780919,0.0004675000091083348,1.4999997802078724e-05,4.1619996773079036e-05
10,0.5,6,5.0,0.02663507716565274,0.06494341067204579,0.14074244096561264,0.7110366001968564,20.40374615071382,0.008384600019780919,0.0004675000091083348,7.499998901039362e-06,4.127999418415129e-05
10,0.5,6,10.0,0.027239048009846018,0.0646358020327836,0.14247930842620732,0.7080382743461926,20.44220575036684,0.008384600019780919,0.0004675000091083348,7.399998139590025e-06,4.115999327041209e-05
10,0.5,6,20.0,0.027333876276257284,0.06431918823213072,0.14223087312321375,0.7093577386078025,20.48351043521636,0.008384600019780919,0.0004675000091083348,6.599992047995329e-06,4.086000844836235e-05
10,0.5,6,40.0,0.027194086843718705,0.06389236637401421,0.14190817159097652,0.7093338648238096,20.557054396909837,0.008384600019780919,0.0004675000091083348,6.499991286545992e-06,4.0660001104697585e-05
10,0.5,6,80.0,0.027086650843032755,0.0635521523050682,0.14158997502367954,0.7100703223298568,20.60931630164824,0.008384600019780919,0.0004675000091083348,6.499991286545992e-06,4.077999037690461e-05
10,0.5,6,160.0,0.027150579800342124,0.06361204756198847,0.14172491563593845,0.7098155875903535,20.605293059516256,0.008384600019780919,0.0004675000091083348,6.599992047995329e-06,4.070000140927732e-05
11,0.5,6,0.001,5049.704617829188,40.531315763312136,63.67155215393213,0.039871385813190205,-34.96878382475465,0.007117900007870048,0.00042619998566806316,1.4299992471933365e-05,4.813999403268099e-05
11,0.5,6,0.01,19.06536311391851,2.674524996772559,4.263251101044674,0.09324309118442944,-12.316237997876398,0.007117900007870048,0.00042619998566806316,8.499977411702275e-06,4.193999920971691e-05
11,0.5,6,0.1,0.23260137699455527,0.2731401440852481,0.453358604818667,0.35861177261053345,7.526312571464811,0.007117900007870048,0.00042619998566806316,7.800001185387373e-06,5.861999816261232e-05
11,0.5,6,1.0,0.040059353711004386,0.09840646247462333,0.18875964325650546,0.611963238911895,15.301452645418351,0.007117900007870048,0.00042619998566806316,1.4299992471933365e-05,4.127999418415129e-05
11,0.5,6,5.0,0.03493055234902471,0.08855593982021351,0.17190874010027396,0.6437933233534239,16.778727189451168,0.007117900007870048,0.00042619998566806316,6.299989763647318e-06,4.135998897254467e-05
11,0.5,6,10.0,0.03446587904666082,0.0877426673348263,0.1707046426546766,0.6494835019780676,16.84742714532804,0.007117900007870048,0.00042619998566806316,6.399990525096655e-06,4.147999570704997e-05
11,0.5,6,20.0,0.03468125754231318,0.08724526253429377,0.17102335934104113,0.6499866275009308,16.846505688362374,0.007117900007870048,0.00042619998566806316,1.0499992640689015e-05,4.137999494560063e-05
11,0.5,6,40.0,0.03456453862234945,0.08735809616530489,0.17078872320447558,0.6499702380054554,16.854876224391663,0.007117900007870048,0.00042619998566806316,6.499991286545992e-06,4.17600036598742e-05
11,0.5,6,80.0,0.034537458546821206,0.08733113222162445,0.17071051823153738,0.6501111134708413,16.859241734460305,0.007117900007870048,0.00042619998566806316,6.399990525096655e-06,4.1879992932081225e-05
11,0.5,6,160.0,0.03454249542020764,0.08733874541033124,0.17070596653794226,0.650145583675424,16.860072835609873,0.007117900007870048,0.00042619998566806316,6.700021913275123e-06,4.3100002221763135e-05
12,0.5,6,0.001,2273.4752580568584,25.71896717609753,40.080239233081315,0.014897934858774034,-28.402381103933855,0.006790399987949058,0.000437700015027076,1.3499986380338669e-05,4.6419998398050666e-05
12,0.5,6,0.01,34.80601809274073,3.3241904830918174,5.184002412430237,0.03234730046270614,-13.091003112498646,0.006790399987949058,0.000437700015027076,7.099995855242014e-06,4.263999289833009e-05
12,0.5,6,0.1,0.3077459581003401,0.329158087564008,0.5191624322878889,0.303978029835247,6.3718786962715175,0.006790399987949058,0.000437700015027076,7.499998901039362e-06,4.2019999818876384e-05
12,0.5,6,1.0,0.018795347749463065,0.06929669751503716,0.12324996408545494,0.7081076955991334,19.302902812971787,0.006790399987949058,0.000437700015027076,7.599999662488699e-06,4.138000658713281e-05
12,0.5,6,5.0,0.016006245175900602,0.06176287314963978,0.11052733402205317,0.7363432520447232,20.564872229872762,0.006790399987949058,0.000437700015027076,6.799993570894003e-06,4.16399969253689e-05
12,0.5,6,10.0,0.01587106088691311,0.0611345949902921,0.11025298347301493,0.7366627922905329,20.588297196221856,0.006790399987949058,0.000437700015027076,6.399990525096655e-06,4.04000049456954e-05
12,0.5,6,20.0,0.016067535244293864,0.06106623176044712,0.11042356863004794,0.7380101389171858,20.627456250802773,0.006790399987949058,0.000437700015027076,6.999995093792677e-06,4.021999193355441e-05
12,0.5,6,40.0,0.016054778414232845,0.06118652197178639,0.11045062684717963,0.7383688861754358,20.618772443268718,0.006790399987949058,0.000437700015027076,6.999995093792677e-06,4.063999513164163e-05
12,0.5,6,80.0,0.016054285325981674,0.06113724965158953,0.11035486541639268,0.7387404530600337,20.63368053623296,0.006790399987949058,0.000437700015027076,6.400019628927112e-06,4.788000369444489e-05
12,0.5,6,160.0,0.01603288501930527,0.06111722881231785,0.11031601734791707,0.7387460946792647,20.632721685272735,0.006790399987949058,0.000437700015027076,1.8300022929906845e-05,4.3539999751374125e-05
13,0.5,6,0.001,3135.552854081083,31.79047428865268,52.662751656674985,0.04718928770738799,-33.91409843690444,0.007436399988364428,0.00041500001680105925,1.930000144056976e-05,5.439999513328076e-05
13,0.5,6,0.01,37.47171261469769,3.900856102545903,5.73024843090884,0.0991816374828155,-14.532021485340033,0.007436399988364428,0.00041500001680105925,6.89999433234334e-06,4.093999741598964e-05
13,0.5,6,0.1,0.13705125568957738,0.22235045287922467,0.350935119899323,0.5053551353256819,9.62156894301163,0.007436399988364428,0.00041500001680105925,6.499991286545992e-06,4.914000746794045e-05
13,0.5,6,1.0,0.015850431453038973,0.0523747553688045,0.11936479114589849,0.7672000941419418,18.998857562245536,0.007436399988364428,0.00041500001680105925,1.4999997802078724e-05,4.111999878659844e-05
13,0.5,6,5.0,0.014531819259623399,0.0424903034460526,0.1089048987330324,0.7933025450557982,20.93841692403223,0.007436399988364428,0.00041500001680105925,7.099995855242014e-06,4.1399995097890496e-05
13,0.5,6,10.0,0.0150544663117403,0.04154608427309834,0.11037906899303336,0.790349692883431,20.855597016181818,0.007436399988364428,0.00041500001680105925,6.600021151825786e-06,4.154000198468566e-05
13,0.5,6,20.0,0.014914831103265294,0.041166189238058,0.10988518079847245,0.7905472517541187,20.91700453198749,0.007436399988364428,0.00041500001680105925,6.499991286545992e-06,4.1879998752847315e-05
13,0.5,6,40.0,0.014852231660291149,0.04079075852168558,0.10978973145598969,0.7903686643427452,20.91441062974379,0.007436399988364428,0.00041500001680105925,6.299989763647318e-06,4.10800043027848e-05
13,0.5,6,80.0,0.014925954778037325,0.040854167047983246,0.10998453680021583,0.7901329188323697,20.907912178224827,0.007436399988364428,0.00041500001680105925,8.700008038431406e-06,4.1319994488731025e-05
13,0.5,6,160.0,0.014893209733314792,0.040727880614060394,0.10988147211307915,0.7903944262531424,20.914327820741022,0.007436399988364428,0.00041500001680105925,7.099995855242014e-06,4.123999970033765e-05
