subject,n_components_percentage,n_components,epsilon,reconstruction_error_mse,reconstruction_error_mae,reconstruction_error_rmse,ssim,psnr,pca_time,projection_time,noise_addition_time,reconstruction_time
12,0.5,6,0.001,2678.2124994567184,30.1593730850315,46.87095697858653,0.009013010729199751,-32.64613549224411,0.006743500009179115,0.00041599999531172216,1.4699995517730713e-05,4.3760007247328756e-05
12,0.5,6,0.01,13.306326338339574,2.2202962142251517,3.590605416178684,0.0540188631817838,-10.952946088359518,0.006743500009179115,0.00041599999531172216,7.000024197623134e-06,4.7600007383152844e-05
12,0.5,6,0.1,0.2758701801291597,0.3271475586810162,0.5192419156021085,0.2387787506046004,5.791678509905861,0.006743500009179115,0.00041599999531172216,7.399998139590025e-06,5.395999178290367e-05
12,0.5,6,1.0,0.017460260270365374,0.06601410179724118,0.11418836199198137,0.717523927294563,20.404097150920713,0.006743500009179115,0.00041599999531172216,8.400005754083395e-06,4.133999464102089e-05
12,0.5,6,5.0,0.016162114970059906,0.061296833767273164,0.11070235606068188,0.7380141095108719,20.61323999177469,0.006743500009179115,0.00041599999531172216,7.000024197623134e-06,4.119999939575791e-05
12,0.5,6,10.0,0.016098594282333727,0.06158645835491365,0.11069712043117375,0.7371831004553933,20.57065931557734,0.006743500009179115,0.00041599999531172216,6.699992809444666e-06,4.273999365977943e-05
12,0.5,6,20.0,0.016094447714361408,0.061291490333285195,0.1105516186234972,0.737626372541209,20.615951858421063,0.006743500009179115,0.00041599999531172216,9.200011845678091e-06,4.35599940828979e-05
12,0.5,6,40.0,0.016003090934303306,0.06109477394958842,0.11018596081712122,0.7389763144960357,20.64564214029358,0.006743500009179115,0.00041599999531172216,1.0399991879239678e-05,4.2399991070851686e-05
12,0.5,6,80.0,0.0160430215794622,0.06112742856230273,0.11033143436928505,0.7387672885575228,20.633458126697036,0.006743500009179115,0.00041599999531172216,6.599992047995329e-06,4.7079991782084106e-05
12,0.5,6,160.0,0.016036173467121093,0.061138381849362614,0.11034937494787662,0.7386373683380002,20.628171612623543,0.006743500009179115,0.00041599999531172216,8.500006515532732e-06,4.081999650225043e-05
13,0.5,6,0.001,1669.8275789257755,22.959303467080694,38.765908240527345,0.054090941601497425,-31.151771561437364,0.006753499998012558,0.00042279998888261616,1.5099998563528061e-05,4.3539999751374125e-05
13,0.5,6,0.01,31.961996795054375,2.867381094984578,4.9023945963863245,0.13197233685648688,-12.418093122026324,0.006753499998012558,0.00042279998888261616,6.89999433234334e-06,4.1179999243468046e-05
13,0.5,6,0.1,0.23698082416423594,0.2667100678280635,0.4528941822817698,0.473066916380937,7.596249632986998,0.006753499998012558,0.00042279998888261616,6.499991286545992e-06,5.341999931260943e-05
13,0.5,6,1.0,0.01683587816740539,0.05730009049644278,0.11462517706005955,0.7827117994044555,20.052861635983223,0.006753499998012558,0.00042279998888261616,1.4800025383010507e-05,4.128000582568347e-05
13,0.5,6,5.0,0.015498091131730224,0.04381674159842949,0.11186363159819349,0.787374650459679,20.7490652954167,0.006753499998012558,0.00042279998888261616,7.100024959072471e-06,4.1319994488731025e-05
13,0.5,6,10.0,0.01462908256473341,0.041111623681866626,0.10888650049677548,0.7924080367638202,20.951859059080416,0.006753499998012558,0.00042279998888261616,6.499991286545992e-06,4.0319992695003745e-05
13,0.5,6,20.0,0.014839458654142903,0.0407085302657712,0.10949172832169844,0.791108730065483,20.94986623494328,0.006753499998012558,0.00042279998888261616,6.500020390376449e-06,4.0000007720664145e-05
13,0.5,6,40.0,0.01494952372800273,0.040822748713595994,0.11010244391067622,0.7901203863415798,20.897155371510074,0.006753499998012558,0.00042279998888261616,6.500020390376449e-06,4.0580006316304204e-05
13,0.5,6,80.0,0.014913115058889573,0.040715829461989136,0.10999750384885362,0.7900795664063537,20.90409844066031,0.006753499998012558,0.00042279998888261616,7.300026481971145e-06,4.081999650225043e-05
13,0.5,6,160.0,0.014897750025611483,0.04070036675355049,0.1098687118103582,0.7903977650582928,20.917664110972,0.006753499998012558,0.00042279998888261616,6.399990525096655e-06,4.0439999429509045e-05
14,0.5,6,0.001,1663.2228034161758,24.060999286380145,38.62891899098372,0.016667061605192417,-31.259515587582747,0.0069374000013340265,0.0003968000237364322,1.550000160932541e-05,4.4980004895478486e-05
14,0.5,6,0.01,17.453286996791284,2.381936293392939,3.936730122285758,0.0857136617492621,-11.450750869441498,0.0069374000013340265,0.0003968000237364322,7.099995855242014e-06,4.111999878659844e-05
14,0.5,6,0.1,0.1616142369531814,0.2508420450056455,0.3964933391330464,0.38934948589484797,8.176299300277266,0.0069374000013340265,0.0003968000237364322,6.699992809444666e-06,5.805998807772994e-05
14,0.5,6,1.0,0.009191848951922548,0.04864166069762983,0.09237958105633433,0.8273833823501594,21.01212340223463,0.0069374000013340265,0.0003968000237364322,1.719998545013368e-05,4.25000034738332e-05
14,0.5,6,5.0,0.00999331647376122,0.03518763751716043,0.09248377227194252,0.8344257193757223,21.65972650275075,0.0069374000013340265,0.0003968000237364322,7.800001185387373e-06,4.220000701025128e-05
14,0.5,6,10.0,0.009454372061681622,0.03488183731568116,0.09027526335503103,0.8389163507257139,21.817889971451233,0.0069374000013340265,0.0003968000237364322,6.599992047995329e-06,4.21399949118495e-05
14,0.5,6,20.0,0.009353576112127272,0.034851070411328844,0.08965498053232114,0.8396999208032992,21.890950442607156,0.0069374000013340265,0.0003968000237364322,6.399990525096655e-06,4.434000584296882e-05
14,0.5,6,40.0,0.009409573157371353,0.03490100914753936,0.08989872859449004,0.8393761255522705,21.873639114317253,0.0069374000013340265,0.0003968000237364322,7.399998139590025e-06,4.1579996468499304e-05
14,0.5,6,80.0,0.00936350177383953,0.0346667702519671,0.08967957437460773,0.8401503711372629,21.89343565362873,0.0069374000013340265,0.0003968000237364322,6.799993570894003e-06,4.046001122333109e-05
14,0.5,6,160.0,0.009398680992361966,0.03476147205023344,0.08988659180258833,0.8397565732755451,21.871835535070844,0.0069374000013340265,0.0003968000237364322,6.89999433234334e-06,4.0580000495538114e-05
15,0.5,6,0.001,3893.2394741287817,34.590445041749646,52.758066354649216,-0.0003223376944809521,-32.146269008258585,0.0064307999855373055,0.0003991000121459365,1.6200006939470768e-05,4.4460000935941935e-05
15,0.5,6,0.01,21.226059738658105,3.1079974192242577,4.359360601769391,0.015245462349910732,-12.117920783348556,0.0064307999855373055,0.0003991000121459365,7.199996616691351e-06,4.216000088490546e-05
15,0.5,6,0.1,0.3004554672315439,0.36340600764509534,0.5278341333689271,0.25248914897457514,5.8590247219041265,0.0064307999855373055,0.0003991000121459365,7.199996616691351e-06,5.050000618211925e-05
15,0.5,6,1.0,0.048267506116601355,0.11466164913306676,0.20344889896522847,0.5779333324197731,14.725718528841991,0.0064307999855373055,0.0003991000121459365,8.700008038431406e-06,4.13800124078989e-05
15,0.5,6,5.0,0.04511901664904146,0.09801493657719258,0.19512881926523623,0.5999627159753891,15.481317522048617,0.0064307999855373055,0.0003991000121459365,6.699992809444666e-06,4.1400000918656586e-05
15,0.5,6,10.0,0.046075388000565945,0.09875931359738543,0.19737566298085052,0.5957845584335468,15.391119983854049,0.0064307999855373055,0.0003991000121459365,7.399998139590025e-06,4.0520000038668516e-05
15,0.5,6,20.0,0.045308714765731985,0.09782666356735661,0.19556489799560384,0.5995538698666806,15.473902824861469,0.0064307999855373055,0.0003991000121459365,6.400019628927112e-06,4.054001183249056e-05
15,0.5,6,40.0,0.0455975973779254,0.09776980664776573,0.19610236766126202,0.5984238069734638,15.458080500141197,0.0064307999855373055,0.0003991000121459365,7.199996616691351e-06,4.062000080011785e-05
15,0.5,6,80.0,0.045646356350325955,0.09770808946118996,0.1962276944755698,0.5982851255251422,15.452178039985194,0.0064307999855373055,0.0003991000121459365,6.599992047995329e-06,4.075999022461474e-05
15,0.5,6,160.0,0.04564160167504253,0.09773860624255655,0.19619636674667237,0.5983413116984238,15.45450920186874,0.0064307999855373055,0.0003991000121459365,6.799993570894003e-06,4.028000403195619e-05
1,0.5,6,0.001,2153.6021415263976,30.5924638124637,42.372009825767165,0.05873109704673947,-31.57480823290407,0.006752500019501895,0.00039259999175556004,1.379998866468668e-05,4.4620007975026966e-05
1,0.5,6,0.01,33.03215113179065,3.908191507488766,5.417618349310897,0.09593450586414852,-13.873387201067018,0.006752500019501895,0.00039259999175556004,8.000002708286047e-06,4.152000183239579e-05
1,0.5,6,0.1,0.18610659725240014,0.33223008416879346,0.42354570783656315,0.3835305164255799,7.628925077129797,0.006752500019501895,0.00039259999175556004,6.599992047995329e-06,4.967999993823469e-05
1,0.5,6,1.0,0.018234785427848392,0.07044635156555115,0.12559294344357547,0.7177922653860797,19.05317307475392,0.006752500019501895,0.00039259999175556004,8.400005754083395e-06,4.099999787285924e-05
1,0.5,6,5.0,0.01918136098113344,0.06546277192972927,0.12729286771979645,0.7255003294669422,19.308514174823195,0.006752500019501895,0.00039259999175556004,6.699992809444666e-06,4.0740001713857056e-05
1,0.5,6,10.0,0.01917231609386228,0.06484248621732769,0.12759751102667574,0.7244497468067378,19.295859814507416,0.006752500019501895,0.00039259999175556004,7.399998139590025e-06,4.1019998025149104e-05
1,0.5,6,20.0,0.01939606630799509,0.06426378534784702,0.12801199460729945,0.7237938142454683,19.294597938818555,0.006752500019501895,0.00039259999175556004,6.500020390376449e-06,4.093999741598964e-05
1,0.5,6,40.0,0.019254741032013137,0.06414066349918093,0.12756531795769996,0.7246181922717005,19.320954462138992,0.006752500019501895,0.00039259999175556004,6.399990525096655e-06,4.0799996349960564e-05
1,0.5,6,80.0,0.019251799861138442,0.06415992408445398,0.12757999813835366,0.7246270939954492,19.319343984180595,0.006752500019501895,0.00039259999175556004,6.399990525096655e-06,4.0799996349960564e-05
1,0.5,6,160.0,0.019216571305344304,0.06410097884286473,0.1274872734745571,0.7246945076979584,19.323859244867577,0.006752500019501895,0.00039259999175556004,6.499991286545992e-06,4.084000247530639e-05
2,0.5,6,0.001,2891.764227537946,40.66324940833856,51.52241065086016,0.004054465937866579,-33.72588850188922,0.0063399999926332384,0.0004040999920107424,1.4999997802078724e-05,4.553999751806259e-05
2,0.5,6,0.01,18.99543158288735,3.0658686889102795,4.018417318934679,0.004153646766028621,-11.42076577557107,0.0063399999926332384,0.0004040999920107424,7.399998139590025e-06,4.146000137552619e-05
2,0.5,6,0.1,0.25675431413478184,0.33905453409439407,0.4821853107749103,0.3492649638746501,6.8927971775336445,0.0063399999926332384,0.0004040999920107424,7.800001185387373e-06,5.10399928316474e-05
2,0.5,6,1.0,0.026180002142910552,0.08601604248779167,0.15249201909690585,0.6756297092888056,17.30168731813554,0.0063399999926332384,0.0004040999920107424,1.2499978765845299e-05,4.090000875294209e-05
2,0.5,6,5.0,0.022824505791762633,0.06820045727295339,0.13497142995564843,0.7034559814608838,21.043030648494074,0.0063399999926332384,0.0004040999920107424,6.600021151825786e-06,4.0520000038668516e-05
2,0.5,6,10.0,0.02276095871340974,0.06802060826801233,0.13517659081240732,0.7030788323234838,20.783258859717712,0.0063399999926332384,0.0004040999920107424,6.399990525096655e-06,4.047999391332269e-05
2,0.5,6,20.0,0.022584739797318364,0.06701307258108177,0.13366383254551165,0.7042314090448347,22.15731517468551,0.0063399999926332384,0.0004040999920107424,7.099995855242014e-06,4.02799982111901e-05
2,0.5,6,40.0,0.022807829760950145,0.06706389019944667,0.13420293560499727,0.702887197938024,22.513870264120996,0.0063399999926332384,0.0004040999920107424,6.399990525096655e-06,4.0399987483397126e-05
2,0.5,6,80.0,0.022719692144091468,0.0669890849116189,0.13391655468766822,0.70356873402402,22.634462127280802,0.0063399999926332384,0.0004040999920107424,6.200018106028438e-06,4.164000856690109e-05
2,0.5,6,160.0,0.022762450124854516,0.06695455491364094,0.13403192203438272,0.7031696062715904,22.64233346055303,0.0063399999926332384,0.0004040999920107424,6.399990525096655e-06,4.049999988637864e-05
3,0.5,6,0.001,2122.350379326694,28.9649693190869,44.18294821299263,0.013219529514581312,-32.49004366397915,0.00717840000288561,0.00039739999920129776,1.5400000847876072e-05,4.366000648587942e-05
3,0.5,6,0.01,20.31311645752766,2.9947972519145596,3.916515298098369,0.03781226157863453,-10.586791213175925,0.00717840000288561,0.00039739999920129776,1.2300006346777081e-05,4.272000514902174e-05
3,0.5,6,0.1,0.26764967456715594,0.3554075360802115,0.4915731172823282,0.3935920155866716,6.835191254962038,0.00717840000288561,0.00039739999920129776,8.400005754083395e-06,5.3440005285665396e-05
3,0.5,6,1.0,0.044358734450872274,0.10313763606342037,0.19058353004984122,0.6395273446498262,16.176312067289167,0.00717840000288561,0.00039739999920129776,1.8699996871873736e-05,6.456000264734029e-05
3,0.5,6,5.0,0.044480928855305454,0.0880021678253535,0.1864162493629388,0.6581602489787427,18.96137551753456,0.00717840000288561,0.00039739999920129776,1.6399979358538985e-05,4.673999501392245e-05
